,statistic,value,weight,T,K,p,noise_std,signal,experiment,dgp,split,floor_start,floor_decay,noise_form,bandit_model,batch_size,time_explore,policy,policy_value
0,Bias,0.08284001961657718,uniform,1000,4,3,1,0.0,synthetic_nosignal,tree,0.5,0.25,0.8,normal,RegionModel,100,200,random,0.0
1,Var,0.005306429549186468,uniform,1000,4,3,1,0.0,synthetic_nosignal,tree,0.5,0.25,0.8,normal,RegionModel,100,200,random,0.0
0,Bias,0.04763454425498405,propscore_expected,1000,4,3,1,0.0,synthetic_nosignal,tree,0.5,0.25,0.8,normal,RegionModel,100,200,random,0.0
1,Var,0.002386487297937937,propscore_expected,1000,4,3,1,0.0,synthetic_nosignal,tree,0.5,0.25,0.8,normal,RegionModel,100,200,random,0.0
0,Bias,0.04951027799399287,propscore_X,1000,4,3,1,0.0,synthetic_nosignal,tree,0.5,0.25,0.8,normal,RegionModel,100,200,random,0.0
1,Var,0.0020206673121617204,propscore_X,1000,4,3,1,0.0,synthetic_nosignal,tree,0.5,0.25,0.8,normal,RegionModel,100,200,random,0.0
0,Bias,0.05937364217235951,lvdl_expected,1000,4,3,1,0.0,synthetic_nosignal,tree,0.5,0.25,0.8,normal,RegionModel,100,200,random,0.0
1,Var,0.002561178412648201,lvdl_expected,1000,4,3,1,0.0,synthetic_nosignal,tree,0.5,0.25,0.8,normal,RegionModel,100,200,random,0.0
0,Bias,0.05626790050885704,lvdl_X,1000,4,3,1,0.0,synthetic_nosignal,tree,0.5,0.25,0.8,normal,RegionModel,100,200,random,0.0
1,Var,0.002196608370949374,lvdl_X,1000,4,3,1,0.0,synthetic_nosignal,tree,0.5,0.25,0.8,normal,RegionModel,100,200,random,0.0
0,Bias,-0.003915145003247884,DM,1000,4,3,1,0.0,synthetic_nosignal,tree,0.5,0.25,0.8,normal,RegionModel,100,200,random,0.0
1,Var,0.0009067755669276783,DM,1000,4,3,1,0.0,synthetic_nosignal,tree,0.5,0.25,0.8,normal,RegionModel,100,200,random,0.0
0,Bias,0.23365529329074786,uniform,1000,4,3,1,0.0,synthetic_nosignal,tree,0.5,0.25,0.8,normal,RegionModel,100,200,optimal,0.0
1,Var,0.05575981325284069,uniform,1000,4,3,1,0.0,synthetic_nosignal,tree,0.5,0.25,0.8,normal,RegionModel,100,200,optimal,0.0
0,Bias,0.054409032164728845,propscore_expected,1000,4,3,1,0.0,synthetic_nosignal,tree,0.5,0.25,0.8,normal,RegionModel,100,200,optimal,0.0
1,Var,0.00934484260232002,propscore_expected,1000,4,3,1,0.0,synthetic_nosignal,tree,0.5,0.25,0.8,normal,RegionModel,100,200,optimal,0.0
0,Bias,-0.04027347404877093,propscore_X,1000,4,3,1,0.0,synthetic_nosignal,tree,0.5,0.25,0.8,normal,RegionModel,100,200,optimal,0.0
1,Var,0.004241751541482852,propscore_X,1000,4,3,1,0.0,synthetic_nosignal,tree,0.5,0.25,0.8,normal,RegionModel,100,200,optimal,0.0
0,Bias,0.08624837793661336,lvdl_expected,1000,4,3,1,0.0,synthetic_nosignal,tree,0.5,0.25,0.8,normal,RegionModel,100,200,optimal,0.0
1,Var,0.01228477826562975,lvdl_expected,1000,4,3,1,0.0,synthetic_nosignal,tree,0.5,0.25,0.8,normal,RegionModel,100,200,optimal,0.0
0,Bias,0.009617964105071356,lvdl_X,1000,4,3,1,0.0,synthetic_nosignal,tree,0.5,0.25,0.8,normal,RegionModel,100,200,optimal,0.0
1,Var,0.00584334806245417,lvdl_X,1000,4,3,1,0.0,synthetic_nosignal,tree,0.5,0.25,0.8,normal,RegionModel,100,200,optimal,0.0
0,Bias,0.008438116634147716,DM,1000,4,3,1,0.0,synthetic_nosignal,tree,0.5,0.25,0.8,normal,RegionModel,100,200,optimal,0.0
