,statistic,value,weight,T,K,p,noise_std,signal,experiment,dgp,split,floor_start,floor_decay,noise_form,bandit_model,batch_size,time_explore,policy,policy_value
0,Bias,-0.044420778510710426,uniform,1000,4,3,1,0.5,synthetic_signal,tree,0.5,0.25,0.8,normal,RegionModel,100,200,random,0.125
1,Var,0.004700560047477605,uniform,1000,4,3,1,0.5,synthetic_signal,tree,0.5,0.25,0.8,normal,RegionModel,100,200,random,0.125
0,Bias,0.012011005371226485,propscore_expected,1000,4,3,1,0.5,synthetic_signal,tree,0.5,0.25,0.8,normal,RegionModel,100,200,random,0.125
1,Var,0.002487923206192631,propscore_expected,1000,4,3,1,0.5,synthetic_signal,tree,0.5,0.25,0.8,normal,RegionModel,100,200,random,0.125
0,Bias,0.009723563913468153,propscore_X,1000,4,3,1,0.5,synthetic_signal,tree,0.5,0.25,0.8,normal,RegionModel,100,200,random,0.125
1,Var,0.0024293274032672276,propscore_X,1000,4,3,1,0.5,synthetic_signal,tree,0.5,0.25,0.8,normal,RegionModel,100,200,random,0.125
0,Bias,0.002116855171694687,lvdl_expected,1000,4,3,1,0.5,synthetic_signal,tree,0.5,0.25,0.8,normal,RegionModel,100,200,random,0.125
1,Var,0.0026017942273793087,lvdl_expected,1000,4,3,1,0.5,synthetic_signal,tree,0.5,0.25,0.8,normal,RegionModel,100,200,random,0.125
0,Bias,0.0009984069933088036,lvdl_X,1000,4,3,1,0.5,synthetic_signal,tree,0.5,0.25,0.8,normal,RegionModel,100,200,random,0.125
1,Var,0.002487414141030692,lvdl_X,1000,4,3,1,0.5,synthetic_signal,tree,0.5,0.25,0.8,normal,RegionModel,100,200,random,0.125
0,Bias,0.015023053413004,DM,1000,4,3,1,0.5,synthetic_signal,tree,0.5,0.25,0.8,normal,RegionModel,100,200,random,0.125
1,Var,0.0010194417331163346,DM,1000,4,3,1,0.5,synthetic_signal,tree,0.5,0.25,0.8,normal,RegionModel,100,200,random,0.125
0,Bias,-0.21076551633256407,uniform,1000,4,3,1,0.5,synthetic_signal,tree,0.5,0.25,0.8,normal,RegionModel,100,200,optimal,0.5
1,Var,0.04174391230233582,uniform,1000,4,3,1,0.5,synthetic_signal,tree,0.5,0.25,0.8,normal,RegionModel,100,200,optimal,0.5
0,Bias,-0.0866329846361154,propscore_expected,1000,4,3,1,0.5,synthetic_signal,tree,0.5,0.25,0.8,normal,RegionModel,100,200,optimal,0.5
1,Var,0.011970490316920645,propscore_expected,1000,4,3,1,0.5,synthetic_signal,tree,0.5,0.25,0.8,normal,RegionModel,100,200,optimal,0.5
0,Bias,-0.13296520252383615,propscore_X,1000,4,3,1,0.5,synthetic_signal,tree,0.5,0.25,0.8,normal,RegionModel,100,200,optimal,0.5
1,Var,0.0027017194543858996,propscore_X,1000,4,3,1,0.5,synthetic_signal,tree,0.5,0.25,0.8,normal,RegionModel,100,200,optimal,0.5
0,Bias,-0.10495748454591286,lvdl_expected,1000,4,3,1,0.5,synthetic_signal,tree,0.5,0.25,0.8,normal,RegionModel,100,200,optimal,0.5
1,Var,0.017452135051893428,lvdl_expected,1000,4,3,1,0.5,synthetic_signal,tree,0.5,0.25,0.8,normal,RegionModel,100,200,optimal,0.5
0,Bias,-0.135686311522759,lvdl_X,1000,4,3,1,0.5,synthetic_signal,tree,0.5,0.25,0.8,normal,RegionModel,100,200,optimal,0.5
1,Var,0.0051065139461704805,lvdl_X,1000,4,3,1,0.5,synthetic_signal,tree,0.5,0.25,0.8,normal,RegionModel,100,200,optimal,0.5
0,Bias,-0.22454848032750596,DM,1000,4,3,1,0.5,synthetic_signal,tree,0.5,0.25,0.8,normal,RegionModel,100,200,optimal,0.5
1,Var,0.0010270493567500864,DM,1000,4,3,1,0.5,synthetic_signal,tree,0.5,0.25,0.8,normal,RegionModel,100,200,optimal,0.5
0,Bias,0.03731372569969313,uniform,1000,4,3,1,0.5,synthetic_signal,tree,0.5,0.25,0.8,normal,RegionModel,100,200,best_arm,0.23906016767555796
1,Var,0.014233085441013987,uniform,1000,4,3,1,0.5,synthetic_signal,tree,0.5,0.25,0.8,normal,RegionModel,100,200,best_arm,0.23906016767555796
0,Bias,-0.035760154679412876,propscore_expected,1000,4,3,1,0.5,synthetic_signal,tree,0.5,0.25,0.8,normal,RegionModel,100,200,best_arm,0.23906016767555796
1,Var,0.00953905414343667,propscore_expected,1000,4,3,1,0.5,synthetic_signal,tree,0.5,0.25,0.8,normal,RegionModel,100,200,best_arm,0.23906016767555796
0,Bias,-0.09360414774698761,propscore_X,1000,4,3,1,0.5,synthetic_signal,tree,0.5,0.25,0.8,normal,RegionModel,100,200,best_arm,0.23906016767555796
1,Var,0.003364150543226475,propscore_X,1000,4,3,1,0.5,synthetic_signal,tree,0.5,0.25,0.8,normal,RegionModel,100,200,best_arm,0.23906016767555796
0,Bias,-0.01516855048410537,lvdl_expected,1000,4,3,1,0.5,synthetic_signal,tree,0.5,0.25,0.8,normal,RegionModel,100,200,best_arm,0.23906016767555796
1,Var,0.009647779192085829,lvdl_expected,1000,4,3,1,0.5,synthetic_signal,tree,0.5,0.25,0.8,normal,RegionModel,100,200,best_arm,0.23906016767555796
0,Bias,-0.056043348057501774,lvdl_X,1000,4,3,1,0.5,synthetic_signal,tree,0.5,0.25,0.8,normal,RegionModel,100,200,best_arm,0.23906016767555796
1,Var,0.0037495485369225053,lvdl_X,1000,4,3,1,0.5,synthetic_signal,tree,0.5,0.25,0.8,normal,RegionModel,100,200,best_arm,0.23906016767555796
0,Bias,-0.03926903640835236,DM,1000,4,3,1,0.5,synthetic_signal,tree,0.5,0.25,0.8,normal,RegionModel,100,200,best_arm,0.23906016767555796
1,Var,0.0010182770978100083,DM,1000,4,3,1,0.5,synthetic_signal,tree,0.5,0.25,0.8,normal,RegionModel,100,200,best_arm,0.23906016767555796
0,Bias,-0.2480792420322572,uniform,1000,4,3,1,0.5,synthetic_signal,tree,0.5,0.25,0.8,normal,RegionModel,100,200,optimal-best_arm,0.26093983232444207
1,Var,0.041192082577285176,uniform,1000,4,3,1,0.5,synthetic_signal,tree,0.5,0.25,0.8,normal,RegionModel,100,200,optimal-best_arm,0.26093983232444207
0,Bias,-0.039916931066807104,propscore_expected,1000,4,3,1,0.5,synthetic_signal,tree,0.5,0.25,0.8,normal,RegionModel,100,200,optimal-best_arm,0.26093983232444207
1,Var,0.01597071147852648,propscore_expected,1000,4,3,1,0.5,synthetic_signal,tree,0.5,0.25,0.8,normal,RegionModel,100,200,optimal-best_arm,0.26093983232444207
0,Bias,-0.01910448254972516,propscore_X,1000,4,3,1,0.5,synthetic_signal,tree,0.5,0.25,0.8,normal,RegionModel,100,200,optimal-best_arm,0.26093983232444207
1,Var,0.006814092986542176,propscore_X,1000,4,3,1,0.5,synthetic_signal,tree,0.5,0.25,0.8,normal,RegionModel,100,200,optimal-best_arm,0.26093983232444207
